EquipmentId,latitude,longitude,speed,odometer reading,eventDate,eventGeneratedTime
EQPT-4,12.9854566,74.9562066,41,760100,1.71623E+12,1.71626E+12
EQPT-4,12.9860133,74.9566033,29,760175,1.71623E+12,1.71626E+12
EQPT-4,12.9860783,74.956625,26,760183,1.71623E+12,1.71626E+12
EQPT-4,12.9862216,74.956605,25,760200,1.71623E+12,1.71626E+12
EQPT-4,12.9862783,74.95657,25,760207,1.71623E+12,1.71626E+12
EQPT-4,12.9865266,74.95635,23,760244,1.71623E+12,1.71626E+12
EQPT-4,12.98658,74.9562416,23,760264,1.71623E+12,1.71626E+12
EQPT-4,12.9866083,74.9560633,24,760277,1.71623E+12,1.71626E+12
EQPT-4,12.9867283,74.9556266,34,760326,1.71623E+12,1.71626E+12
EQPT-4,12.9869366,74.9552316,32,760374,1.71623E+12,1.71626E+12
EQPT-4,12.98704,74.955105,31,760392,1.71623E+12,1.71626E+12
EQPT-4,12.9871749,74.9550216,32,760410,1.71623E+12,1.71626E+12
EQPT-4,12.9873316,74.9550016,31,760428,1.71623E+12,1.71626E+12
EQPT-4,12.9875199,74.954945,27,760449,1.71623E+12,1.71626E+12
EQPT-4,12.987965,74.9547066,31,760505,1.71623E+12,1.71626E+12
EQPT-4,12.9882033,74.9544783,32,760542,1.71623E+12,1.71626E+12
EQPT-4,12.9883533,74.9542883,31,760568,1.71623E+12,1.71626E+12
EQPT-4,12.988595,74.95387,30,760621,1.71623E+12,1.71626E+12
EQPT-4,12.988645,74.95372,30,760638,1.71623E+12,1.71626E+12
EQPT-4,12.9886333,74.9535633,28,760655,1.71623E+12,1.71626E+12
EQPT-4,12.9885399,74.9531149,35,760705,1.71623E+12,1.71626E+12
EQPT-4,12.98865,74.9526966,45,760752,1.71623E+12,1.71626E+12
EQPT-4,12.9888383,74.9517733,46,760855,1.71623E+12,1.71626E+12
EQPT-4,12.9890416,74.95082,43,760961,1.71623E+12,1.71626E+12
EQPT-4,12.9892049,74.9504216,42,761008,1.71623E+12,1.71626E+12
EQPT-4,12.9897433,74.94958,40,761117,1.71623E+12,1.71626E+12
EQPT-4,12.9898516,74.949415,40,761174,1.71623E+12,1.71626E+12
EQPT-4,12.9905399,74.9487599,39,761243,1.71623E+12,1.71626E+12
EQPT-4,12.9907466,74.9484866,29,761281,1.71623E+12,1.71626E+12
EQPT-4,12.9912733,74.9476283,35,761391,1.71623E+12,1.71626E+12
EQPT-4,12.9915283,74.94735,37,761432,1.71623E+12,1.71626E+12
EQPT-4,12.99185,74.9471183,39,761487,1.71623E+12,1.71626E+12
EQPT-4,12.99266,74.9465583,35,761585,1.71623E+12,1.71626E+12
EQPT-4,12.9928516,74.9463616,34,761625,1.71623E+12,1.71626E+12
EQPT-4,12.9930583,74.9460333,39,761657,1.71623E+12,1.71626E+12
EQPT-4,12.9933633,74.9454433,31,761731,1.71623E+12,1.71626E+12
EQPT-4,12.9935066,74.9453549,32,761750,1.71623E+12,1.71626E+12
EQPT-4,12.9936483,74.94534,28,761766,1.71623E+12,1.71626E+12
EQPT-4,12.9941616,74.9453549,18,761823,1.71623E+12,1.71626E+12
EQPT-4,12.994505,74.9453549,27,761870,1.71623E+12,1.71626E+12
EQPT-4,12.99474,74.94531,26,761888,1.71623E+12,1.71626E+12
EQPT-4,12.994805,74.94526,28,761897,1.71623E+12,1.71626E+12
EQPT-4,12.9949766,74.945145,26,761920,1.71623E+12,1.71626E+12
EQPT-4,12.9950433,74.945125,26,761928,1.71623E+12,1.71626E+12
EQPT-4,12.9951116,74.9451299,28,761935,1.71623E+12,1.71626E+12
EQPT-4,12.9953233,74.9451749,27,761959,1.71623E+12,1.71626E+12
EQPT-4,12.99541,74.9452933,26,761975,1.71623E+12,1.71626E+12
EQPT-4,12.9954616,74.945385,27,761987,1.71623E+12,1.71626E+12
EQPT-4,12.99562,74.9455333,26,762003,1.71623E+12,1.71626E+12
EQPT-4,12.9957766,74.9455683,29,762029,1.71623E+12,1.71626E+12
EQPT-4,12.99594,74.94555,35,762038,1.71623E+12,1.71626E+12
EQPT-4,12.9961999,74.94548,38,762067,1.71623E+12,1.71626E+12
